Energy,Csc,
4.2,0,0
4.3,0.0088,0.000088
4.4,0.0264,0.000264
4.5,0.044,0.00044
4.6,0.0704,0.000704
4.7,0.0968,0.000968
4.8,0.132,0.00132
4.9,0.176,0.00176
5,0.22,0.0022
5.1,0.29,0.0029
5.2,0.361,0.00361
5.3,0.449,0.00449
5.4,0.537,0.00537
5.5,0.633,0.00633
5.6,0.748,0.00748
5.7,0.853,0.00853
5.8,0.959,0.00959
5.9,1.05,0.0105
6,1.14,0.0114
6.1,1.23,0.0123
6.2,1.31,0.0131
6.3,1.36,0.0136
6.5,1.41,0.0141
6.6,1.4,0.014
6.7,1.37,0.0137
6.8,1.34,0.0134
6.9,1.28,0.0128
7,1.22,0.0122
7.1,1.14,0.0114
7.2,1.06,0.0106
7.3,0.985,0.00985
7.4,0.897,0.00897
7.5,0.818,0.00818
7.6,0.739,0.00739
7.7,0.642,0.00642
7.8,0.572,0.00572
7.9,0.501,0.00501
8,0.449,0.00449
8.1,0.387,0.00387
8.2,0.334,0.00334
8.3,0.282,0.00282
8.4,0.238,0.00238
8.5,0.202,0.00202
8.6,0.167,0.00167
8.7,0.141,0.00141
8.8,0.123,0.00123
8.9,0.106,0.00106
9,0.088,0.00088
9.1,0.0704,0.000704
9.2,0.0704,0.000704
9.3,0.0616,0.000616
9.4,0.0528,0.000528
9.5,0.044,0.00044
9.6,0.044,0.00044
9.8,0.0352,0.000352
9.9,0.0352,0.000352
