Wavelength,Flux,
0,1.00E-01,
2,3.00E+01,2
4,2.50E+03,2
6,2.80E+04,2
8,1.80E+05,2
10,4.00E+06,30
40,4.70E+07,10
50,8.30E+07,10
60,1.03E+08,10
70,9.40E+07,10
80,1.20E+08,10
90,9.90E+07,10
100,5.60E+07,10
110,2.50E+07,10
120,1.20E+07,8
128,3.07E+08,25
153,9.00E+08,23
176,3.70E+09,29
205,1.40E+09,26
231,2.65E+09,39
270,4.50E+08,10
280,1.54E+09,20
300,5.84E+09,20
320,1.16E+09,20
340,4.50E+08,20
360,1.31E+09,10
370,1.77E+08,30
400,2.76E+08,30
430,1.77E+08,30
460,2.12E+08,20
480,4.32E+08,20
500,6.32E+08,20
520,2.42E+08,20
540,3.62E+08,20
560,5.17E+07,20
580,1.02E+09,20
600,5.52E+08,20
620,1.20E+09,10
630,1.15E+08,50
680,3.39E+08,30
710,1.59E+08,30
740,5.19E+08,30
770,1.28E+09,30
800,8.07E+08,30
830,2.05E+09,30
860,2.73E+09,30
890,3.34E+09,21
911,9.39E+07,9
920,2.34E+08,10
930,5.84E+08,10
940,5.94E+08,10
950,1.04E+08,10
960,1.04E+08,10
970,5.30E+09,10
980,7.56E+08,15
995,1.25E+08,12
1007,1.04E+08,10
1017,3.60E+09,10
1027,2.46E+09,8
1035,1.83E+09,10
1045,1.57E+08,12
1057,1.70E+08,13
1070,1.31E+08,10
1080,7.21E+08,10
1090,1.31E+08,10
1100,1.31E+08,10
1110,1.31E+08,10
1120,6.21E+08,10
1130,1.31E+08,10
1140,1.31E+08,10
1150,9.15E+07,7
1157,7.84E+07,6
1163,1.03E+08,7
1170,2.66E+08,6
1176,1.12E+08,7
1183,1.24E+08,7
1190,1.82E+08,8
1198,1.90E+08,7
1205,7.40E+08,7
1212,3.02E+11,8
1220,3.67E+09,7
1227,1.36E+09,8
1235,1.61E+09,7
1242,1.32E+09,8
1250,1.41E+09,8
1258,3.11E+09,8
1266,1.06E+09,8
1274,1.37E+09,8
1282,1.02E+09,8
1290,1.14E+09,9
1299,7.29E+09,8
1307,2.20E+09,9
1316,1.59E+09,8
1324,2.21E+09,9
1333,1.24E+10,9
1342,1.99E+09,9
1351,3.09E+09,9
1360,2.57E+09,10
1370,2.74E+09,9
1379,3.10E+09,10
1389,7.60E+09,19
1408,1.01E+10,20
1428,1.30E+10,21
1449,1.82E+10,21
1470,2.33E+10,22
1492,2.66E+10,23
1515,2.90E+10,23
1538,3.60E+10,24
1562,4.75E+10,25
1587,6.40E+10,26
1613,5.49E+10,26
1639,1.19E+11,28
1667,1.76E+11,28
1695,2.32E+11,29
1724,1.44E+11,15
1739,1.83E+11,15
1754,2.34E+11,16
1770,2.62E+11,16
1786,2.88E+11,16
1802,3.14E+11,16
1818,3.81E+11,17
1835,4.43E+11,17
1852,4.95E+11,17
1869,5.94E+11,18
1887,6.59E+11,18
1905,7.26E+11,18
1923,9.85E+11,19
1942,1.27E+12,19
1961,1.01E+12,19
1980,1.20E+12,20
2000,1.44E+12,20
2020,1.80E+12,21
2041,2.08E+12,21
2062,2.45E+12,21
2083,5.09E+12,22
2105,7.12E+12,23
2128,9.23E+12,22
2150,8.42E+12,24
2174,1.20E+13,24
2198,1.22E+13,24
2222,1.77E+13,25
2247,1.60E+13,26
2273,1.96E+13,26
2299,2.40E+13,27
