Energy,Csc
4.3,0
4.51,9.00E-04
4.75,1.87E-03
5,4.00E-03
5.21,6.60E-03
5.39,0.0109
5.56,0.0165
5.69,0.0246
5.836,0.0379
6,0.0537
6.1,0.0757
6.27,0.1048
6.36,0.114
6.437,0.116
6.536,0.1154
6.626,0.1105
6.77,0.095
6.874,0.0763
7.02,0.06235
7.15,0.0489
7.32,0.0376
7.413,0.0356
7.49,0.0345
7.6,0.036
7.73,0.0417
7.83,0.048
8.02,0.067
8.19,0.078
8.31,0.082
8.385,0.083
8.53,0.081
8.64,0.0756
8.85,0.057
9,0.0436
9.23,0.0304
9.36,0.0244
9.49,0.0201
9.57,0.0194
9.654,0.0202
9.78,0.0229
10.01,0.0358
10.26,0.053
10.52,0.06686
10.825,0.0775
11,0.08235
11.13,0.0847
11.3,0.083
11.45,0.0795
11.6,0.0699
11.87,0.04818
12,0.0402
12.19,0.0311
12.47,0.0184
